ID;RN;FN;RP;FP;Sensitivitaet;Spezifitaet;PPV;NPV
3588;6;0;1;2;1.0;0.75;0.3333333333333333;1.0
2566;0;1;0;0;0.0;;;0.0
3591;0;0;1;0;1.0;;1.0;
2571;0;1;0;0;0.0;;;0.0
527;3;0;1;1;1.0;0.75;0.5;1.0
2576;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
2578;1;0;1;0;1.0;1.0;1.0;1.0
1045;2;0;1;0;1.0;1.0;1.0;1.0
2595;3;0;1;0;1.0;1.0;1.0;1.0
3620;0;0;1;1;1.0;0.0;0.5;
3621;1;1;0;0;0.0;1.0;;0.5
9774;3;0;1;1;1.0;0.75;0.5;1.0
3632;0;1;0;0;0.0;;;0.0
3635;3;0;1;0;1.0;1.0;1.0;1.0
565;3;1;0;0;0.0;1.0;;0.75
2621;4;0;1;1;1.0;0.8;0.5;1.0
2625;7;0;1;0;1.0;1.0;1.0;1.0
9795;1;0;1;0;1.0;1.0;1.0;1.0
1092;1;0;1;1;1.0;0.5;0.5;1.0
1093;0;0;1;0;1.0;;1.0;
2630;1;1;0;0;0.0;1.0;;0.5
2633;0;0;1;1;1.0;0.0;0.5;
1099;1;0;1;0;1.0;1.0;1.0;1.0
2636;0;1;0;0;0.0;;;0.0
3661;2;1;0;2;0.0;0.5;0.0;0.6666666666666666
2639;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
2641;2;0;1;7;1.0;0.2222222222222222;0.125;1.0
83;1;0;1;0;1.0;1.0;1.0;1.0
2650;0;0;1;0;1.0;;1.0;
97;0;0;1;0;1.0;;1.0;
2658;0;0;1;2;1.0;0.0;0.3333333333333333;
3685;1;0;1;0;1.0;1.0;1.0;1.0
9745;0;0;1;0;1.0;;1.0;
1641;0;0;1;0;1.0;;1.0;
618;0;1;0;2;0.0;0.0;0.0;0.0
622;0;0;1;0;1.0;;1.0;
1138;1;1;0;0;0.0;1.0;;0.5
3701;3;0;1;1;1.0;0.75;0.5;1.0
2581;0;0;1;0;1.0;;1.0;
1302;2;0;1;0;1.0;1.0;1.0;1.0
1164;0;0;1;0;1.0;;1.0;
141;0;0;1;0;1.0;;1.0;
9870;0;0;1;0;1.0;;1.0;
1897;0;1;0;0;0.0;;;0.0
1168;0;0;1;1;1.0;0.0;0.5;
2545;1;0;1;0;1.0;1.0;1.0;1.0
1175;3;1;0;0;0.0;1.0;;0.75
2712;1;0;1;0;1.0;1.0;1.0;1.0
668;2;1;0;0;0.0;1.0;;0.6666666666666666
1181;0;0;1;0;1.0;;1.0;
1183;1;0;1;1;1.0;0.5;0.5;1.0
5794;3;1;0;0;0.0;1.0;;0.75
1188;0;0;1;1;1.0;0.0;0.5;
9381;0;1;0;0;0.0;;;0.0
8872;1;0;1;0;1.0;1.0;1.0;1.0
1052;4;0;1;0;1.0;1.0;1.0;1.0
1195;0;1;0;0;0.0;;;0.0
1196;0;1;0;2;0.0;0.0;0.0;0.0
1366;3;1;0;1;0.0;0.75;0.0;0.75
2737;0;1;0;0;0.0;;;0.0
181;1;0;1;0;1.0;1.0;1.0;1.0
1796;0;0;1;0;1.0;;1.0;
3768;0;0;1;0;1.0;;1.0;
2747;0;0;1;1;1.0;0.0;0.5;
194;0;0;1;1;1.0;0.0;0.5;
1221;0;1;0;0;0.0;;;0.0
1223;4;0;1;0;1.0;1.0;1.0;1.0
1231;0;0;1;2;1.0;0.0;0.3333333333333333;
9337;0;0;1;0;1.0;;1.0;
2596;0;0;1;0;1.0;;1.0;
1259;3;0;1;0;1.0;1.0;1.0;1.0
1261;0;0;1;0;1.0;;1.0;
9256;0;0;1;4;1.0;0.0;0.2;
2601;0;0;1;0;1.0;;1.0;
1279;0;0;1;0;1.0;;1.0;
1284;1;0;1;1;1.0;0.5;0.5;1.0
1800;0;0;1;0;1.0;;1.0;
1803;5;0;1;0;1.0;1.0;1.0;1.0
1304;0;0;1;3;1.0;0.0;0.25;
2728;3;0;1;2;1.0;0.6;0.3333333333333333;1.0
1317;0;1;0;0;0.0;;;0.0
1320;1;0;1;0;1.0;1.0;1.0;1.0
9519;0;1;0;0;0.0;;;0.0
1337;1;1;0;2;0.0;0.3333333333333333;0.0;0.5
1851;1;0;1;1;1.0;0.5;0.5;1.0
3909;1;0;1;5;1.0;0.16666666666666666;0.16666666666666666;1.0
3912;0;1;0;1;0.0;0.0;0.0;0.0
6988;0;0;1;0;1.0;;1.0;
11;0;0;1;0;1.0;;1.0;
1875;0;0;1;0;1.0;;1.0;
1934;0;0;1;0;1.0;;1.0;
9046;0;0;1;2;1.0;0.0;0.3333333333333333;
858;0;0;1;0;1.0;;1.0;
3940;2;1;0;0;0.0;1.0;;0.6666666666666666
3944;0;0;1;3;1.0;0.0;0.25;
9065;2;1;0;0;0.0;1.0;;0.6666666666666666
1899;1;0;1;3;1.0;0.25;0.25;1.0
1903;0;0;1;0;1.0;;1.0;
369;0;0;1;1;1.0;0.0;0.5;
1911;1;0;1;0;1.0;1.0;1.0;1.0
1915;1;0;1;1;1.0;0.5;0.5;1.0
1920;0;0;1;0;1.0;;1.0;
398;1;1;0;1;0.0;0.5;0.0;0.5
1935;0;0;1;0;1.0;;1.0;
3994;0;0;1;0;1.0;;1.0;
1951;0;0;1;1;1.0;0.0;0.5;
1955;4;0;1;1;1.0;0.8;0.5;1.0
9639;0;1;0;0;0.0;;;0.0
430;0;0;1;0;1.0;;1.0;
8635;0;0;1;0;1.0;;1.0;
446;2;0;1;1;1.0;0.6666666666666666;0.5;1.0
1985;2;0;1;0;1.0;1.0;1.0;1.0
1986;1;0;1;0;1.0;1.0;1.0;1.0
